state,date,population,gdp,peak_demand_mw,peak_production_mw,solar_production_mw,coal_production_mw,wind_production_mw,nuclear_production_mw,total_production_mw
andhra,31-01-2020,57788138.09,16.92,114682.4793,117629.5383,25037.33632,68057.4686,0.0,0.0,93094.80492
andhra,29-02-2020,57930421.37,16.96,111085.4455,101256.3453,19787.28143,62881.98474,0.0,0.0,82669.26617
andhra,31-03-2020,58054780.2,17.03,86049.65884,81348.88591,20201.82869,34602.43664,0.0,0.0,54804.26533
andhra,30-04-2020,58135918.53,17.08,62137.82705,67543.12675,6479.740551,31516.49664,0.0,0.0,37996.23719
andhra,31-05-2020,58208724.58,17.13,102896.5308,93454.18317,11862.50814,56840.98487,0.0,0.0,68703.49301
andhra,30-06-2020,58348004.06,17.16,61837.84838,61794.24476,10962.53012,34537.16703,0.0,0.0,45499.69715
andhra,31-07-2020,58481315.19,17.23,63803.2641,61284.95962,15770.65705,25679.06468,0.0,0.0,41449.72173
andhra,31-08-2020,58571983.51,17.29,89894.67892,97640.89731,9663.313141,48266.51805,0.0,0.0,57929.83119
andhra,30-09-2020,58678246.59,17.33,116238.8371,120389.6344,26050.61124,60856.73876,0.0,0.0,86907.34999
andhra,31-10-2020,58792205.15,17.36,84125.16713,90601.00022,6289.140742,34381.42965,0.0,0.0,40670.57039
andhra,30-11-2020,58927530.92,17.42,88409.52159,90634.90941,18027.58689,44597.75593,0.0,0.0,62625.34282
andhra,31-12-2020,58998694.02,17.45,77843.98021,79231.99223,6064.069157,31951.22417,0.0,0.0,38015.29333
andhra,31-01-2021,59111033.12,17.51,122475.8835,132385.5189,21718.00208,70687.80069,0.0,0.0,92405.80277
andhra,28-02-2021,59226248.56,17.55,120715.2803,125554.1646,23051.07361,51734.96354,0.0,0.0,74786.03714
andhra,31-03-2021,59294613.58,17.61,89758.68548,98588.66557,12121.1455,38635.24549,0.0,0.0,50756.39099
andhra,30-04-2021,59363136.04,17.65,85000.51006,80352.07743,14136.52431,48522.70973,0.0,0.0,62659.23404
andhra,31-05-2021,59417027.02,17.72,76230.99819,71964.11631,8639.883083,38218.13199,0.0,0.0,46858.01508
andhra,30-06-2021,59527206.9,17.77,65491.02488,71589.1313,16225.59916,26514.32206,0.0,0.0,42739.92121
andhra,31-07-2021,59594547.3,17.81,92717.9841,99336.53769,21737.99846,53392.71693,0.0,0.0,75130.71538
andhra,31-08-2021,59718946.79,17.85,125284.5228,125238.8842,6866.894474,59122.53474,0.0,0.0,65989.42921
andhra,30-09-2021,59791311.65,17.88,80614.80471,74655.18641,7280.843214,39038.5357,0.0,0.0,46319.37891
andhra,31-10-2021,59895339.68,17.95,71328.49697,71192.94964,16062.30069,37695.60444,0.0,0.0,53757.90513
andhra,30-11-2021,60038335.91,18.01,91710.05965,89197.04159,13457.34853,40590.85437,0.0,0.0,54048.2029
andhra,31-12-2021,60148265.25,18.04,111969.9841,121611.8672,26481.47563,51462.49829,0.0,0.0,77943.97392
andhra,31-01-2022,60296142.12,18.12,123166.3481,116185.6399,10099.92993,66469.65208,0.0,0.0,76569.582
andhra,28-02-2022,60377498.45,18.19,85305.05281,91246.74343,9519.89977,48919.72709,0.0,0.0,58439.62686
andhra,31-03-2022,60511581.38,18.25,128509.9238,122600.0177,19891.99852,75753.07248,0.0,0.0,95645.071
andhra,30-04-2022,60595927.09,18.32,119584.7627,114853.5011,12058.59269,48595.52336,0.0,0.0,60654.11605
andhra,31-05-2022,60740783.69,18.39,73660.23203,79540.79951,11411.18468,38072.62036,0.0,0.0,49483.80504
andhra,30-06-2022,60879298.92,18.44,133427.4064,125378.5656,12682.98715,66332.3625,0.0,0.0,79015.34965
andhra,31-07-2022,60974120.18,18.5,126210.5965,133880.1086,24274.18565,72502.44631,0.0,0.0,96776.63196
andhra,31-08-2022,61126161.11,18.54,116283.1313,106543.2312,27288.13754,46705.85622,0.0,0.0,73993.99376
andhra,30-09-2022,61207570.93,18.6,74650.48997,72908.61834,17791.98351,39848.79119,0.0,0.0,57640.77471
andhra,31-10-2022,61314486.68,18.64,118764.9667,124645.2216,15925.86097,55209.51553,0.0,0.0,71135.3765
andhra,30-11-2022,61378537.64,18.7,131039.4936,133199.0044,27558.22167,71336.17157,0.0,0.0,98894.39324
andhra,31-12-2022,61441443.53,18.77,73878.87446,69507.31305,14909.96237,36129.34625,0.0,0.0,51039.30863
andhra,31-01-2023,61524748.36,18.83,101045.6311,97486.98952,23063.03217,49992.09633,0.0,0.0,73055.1285
andhra,28-02-2023,61578258.9,18.86,88652.91533,82427.2654,17973.29361,48215.77349,0.0,0.0,66189.0671
andhra,31-03-2023,61671301.15,18.93,104643.2589,104497.3295,21558.40511,61909.57072,0.0,0.0,83467.97584
andhra,30-04-2023,61749875.49,18.98,140464.5045,141391.0596,10186.26116,77142.43303,0.0,0.0,87328.69419
andhra,31-05-2023,61888511.28,19.04,85383.41305,83267.94841,6781.731282,46037.29547,0.0,0.0,52819.02675
andhra,30-06-2023,61989439.94,19.11,138979.8762,150513.8233,26150.59518,73983.82087,0.0,0.0,100134.4161
andhra,31-07-2023,62080744.4,19.18,108712.3591,110511.2095,13091.44656,53813.84805,0.0,0.0,66905.2946
andhra,31-08-2023,62228774.29,19.21,82589.84071,76556.70158,17094.37396,45374.36918,0.0,0.0,62468.74314
andhra,30-09-2023,62377814.86,19.29,118491.7022,126703.8107,10391.50275,54570.1791,0.0,0.0,64961.68185
andhra,31-10-2023,62478325.57,19.34,101070.7592,101569.6642,7300.493879,59442.5764,0.0,0.0,66743.07028
andhra,30-11-2023,62631079.61,19.38,130596.7327,142803.6582,25467.92813,74476.05799,0.0,0.0,99943.98612
andhra,31-12-2023,62686424.56,19.43,77760.0876,85280.00468,4421.705392,46288.22668,0.0,0.0,50709.93207
andhra,31-01-2024,62759751.49,19.48,121894.6902,132145.708,17416.38647,53917.83963,0.0,0.0,71334.2261
andhra,29-02-2024,62821626.75,19.54,109071.2039,115617.4447,17850.646,57708.85144,0.0,0.0,75559.49744
andhra,31-03-2024,62968882.58,19.61,77028.06727,75512.28706,16888.40677,34030.51019,0.0,0.0,50918.91696
andhra,30-04-2024,63085011.32,19.65,133110.2038,134605.1553,19425.37938,65874.035,0.0,0.0,85299.41439
andhra,31-05-2024,63152734.62,19.73,126619.4603,137614.5499,12629.30618,67821.44034,0.0,0.0,80450.74652
andhra,30-06-2024,63227704.83,19.78,93600.53588,89248.22128,17191.82232,51036.63299,0.0,0.0,68228.45532
Arunanchal,31-01-2012,1386926.957,1.36,175.944417,168.2585161,39.77869327,78.56303389,0.0,0.0,118.3417272
Arunanchal,29-02-2012,1389450.496,1.37,206.705069,201.9712254,40.07051598,105.3008112,0.0,0.0,145.3713271
Arunanchal,31-03-2012,1390703.661,1.37,152.3588178,148.5471878,32.22598855,85.21239542,0.0,0.0,117.438384
Arunanchal,30-04-2012,1392089.123,1.37,123.9606567,124.1829991,19.53922879,59.32654863,0.0,0.0,78.86577742
Arunanchal,31-05-2012,1393708.019,1.38,211.3721047,231.6028789,13.62019295,96.9109025,0.0,0.0,110.5310955
Arunanchal,30-06-2012,1395335.807,1.38,139.9836968,126.0823634,17.54426582,68.34133838,0.0,0.0,85.88560421
Arunanchal,31-07-2012,1396994.672,1.38,209.2280001,200.9266248,12.7691464,107.3344185,0.0,0.0,120.1035649
Arunanchal,31-08-2012,1398648.756,1.39,152.0731402,137.7547929,8.914306733,89.46682952,0.0,0.0,98.38113625
Arunanchal,30-09-2012,1400997.477,1.39,146.325107,141.0696564,9.424199339,80.41441879,0.0,0.0,89.83861813
Arunanchal,31-10-2012,1404344.756,1.39,158.4919647,163.6465292,25.63963988,87.93607369,0.0,0.0,113.5757136
Arunanchal,30-11-2012,1405576.917,1.4,145.0957846,152.1096626,19.4151607,70.66865815,0.0,0.0,90.08381885
Arunanchal,31-12-2012,1408623.339,1.4,205.396074,216.6525204,28.91428773,109.5142276,0.0,0.0,138.4285154
Arunanchal,31-01-2013,1410958.9,1.41,190.0734583,199.3128199,14.75178772,78.93301363,0.0,0.0,93.68480135
Arunanchal,28-02-2013,1412724.346,1.41,235.4326619,249.0039854,15.69921803,100.4922885,0.0,0.0,116.1915065
Arunanchal,31-03-2013,1415983.529,1.42,126.0163418,126.1248859,15.46060471,59.21853189,0.0,0.0,74.6791366
Arunanchal,30-04-2013,1417764.452,1.43,160.715594,174.3293204,23.39751076,72.36867964,0.0,0.0,95.76619039
Arunanchal,31-05-2013,1421118.804,1.43,190.7694299,179.8616752,23.59002403,81.70152821,0.0,0.0,105.2915522
Arunanchal,30-06-2013,1423206.657,1.44,170.9280109,172.3323945,30.0297585,81.09451334,0.0,0.0,111.1242718
Arunanchal,31-07-2013,1426221.243,1.44,163.5418671,150.6152734,31.92729143,68.51272151,0.0,0.0,100.4400129
Arunanchal,31-08-2013,1428013.5,1.44,241.9960849,250.6724717,34.24944322,99.5503261,0.0,0.0,133.7997693
Arunanchal,30-09-2013,1430332.216,1.45,144.4397684,146.5265189,15.51275921,85.08747748,0.0,0.0,100.6002367
Arunanchal,31-10-2013,1433306.808,1.45,225.5939193,220.0507577,18.61051991,106.8870363,0.0,0.0,125.4975563
Arunanchal,30-11-2013,1436373.651,1.46,169.5984367,163.9345621,33.31763597,98.09765379,0.0,0.0,131.4152898
Arunanchal,31-12-2013,1439068.047,1.46,159.0884348,163.3796457,25.60889042,63.8076719,0.0,0.0,89.41656232
Arunanchal,31-01-2014,1440795.795,1.47,137.4881475,147.3675383,20.95214072,55.5071238,0.0,0.0,76.45926453
Arunanchal,28-02-2014,1444286.671,1.47,218.2587351,220.9829758,20.16104357,130.2930069,0.0,0.0,150.4540505
Arunanchal,31-03-2014,1446880.455,1.48,136.6308376,130.9063494,28.80291841,61.76738577,0.0,0.0,90.57030418
Arunanchal,30-04-2014,1449794.007,1.48,196.6957048,180.2861872,24.87115903,91.215075,0.0,0.0,116.086234
Arunanchal,31-05-2014,1451181.767,1.49,248.9841957,268.1817634,13.33664602,111.3510834,0.0,0.0,124.6877294
Arunanchal,30-06-2014,1453702.774,1.49,204.6411803,225.0688201,24.94567843,96.40049736,0.0,0.0,121.3461758
Arunanchal,31-07-2014,1456256.82,1.5,234.9138508,218.107329,44.36701038,130.3850963,0.0,0.0,174.7521067
Arunanchal,31-08-2014,1458548.85,1.5,229.6135862,252.0820597,14.46621626,107.5432523,0.0,0.0,122.0094686
Arunanchal,30-09-2014,1461986.919,1.51,134.1218933,121.0480786,26.22339244,77.22656419,0.0,0.0,103.4499566
Arunanchal,31-10-2014,1465350.88,1.51,249.7480081,239.2513334,23.4667959,105.6483407,0.0,0.0,129.1151366
Arunanchal,30-11-2014,1468246.61,1.52,255.9635615,254.1848407,61.25318022,125.6825313,0.0,0.0,186.9357115
Arunanchal,31-12-2014,1471256.581,1.53,268.3726108,283.2223072,36.98725342,117.7872274,0.0,0.0,154.7744808
Arunanchal,31-01-2015,1472896.113,1.53,181.1175287,168.9400145,43.51208646,79.03126648,0.0,0.0,122.5433529
Arunanchal,28-02-2015,1474799.402,1.53,212.3105129,210.7702548,28.71824011,105.6305973,0.0,0.0,134.3488374
Arunanchal,31-03-2015,1477102.011,1.54,223.8475077,210.9208031,27.05314427,130.1357,0.0,0.0,157.1888443
Arunanchal,30-04-2015,1479238.578,1.54,158.4940171,169.1357265,27.78927076,70.30435362,0.0,0.0,98.09362439
Arunanchal,31-05-2015,1482843.019,1.55,219.8661958,208.1737201,46.47710953,112.6851645,0.0,0.0,159.162274
Arunanchal,30-06-2015,1485939.223,1.55,170.3890677,165.796097,27.29342363,79.46521543,0.0,0.0,106.7586391
Arunanchal,31-07-2015,1488744.888,1.56,169.7062337,158.1924726,40.46708774,68.55975877,0.0,0.0,109.0268465
Arunanchal,31-08-2015,1491241.643,1.56,247.8590866,271.7124256,26.28145545,128.7475343,0.0,0.0,155.0289898
Arunanchal,30-09-2015,1493937.208,1.56,279.2024566,252.3527015,38.75223652,134.6845666,0.0,0.0,173.4368031
Arunanchal,31-10-2015,1497537.366,1.57,258.0382108,259.9092311,28.12604775,124.3433088,0.0,0.0,152.4693566
Arunanchal,30-11-2015,1501127.26,1.57,188.4753833,184.4446764,18.87729724,77.20211664,0.0,0.0,96.07941388
Arunanchal,31-12-2015,1502398.987,1.58,181.0757205,185.337319,38.06804632,84.77949956,0.0,0.0,122.8475459
Arunanchal,31-01-2016,1503906.047,1.58,144.9299636,141.626684,17.78532182,78.54735644,0.0,0.0,96.33267826
Arunanchal,29-02-2016,1505238.261,1.59,174.6280345,181.5977047,41.92898766,71.55210629,0.0,0.0,113.481094
Arunanchal,31-03-2016,1508028.528,1.59,187.5327625,174.449391,31.14667295,75.6793377,0.0,0.0,106.8260107
Arunanchal,30-04-2016,1510771.989,1.6,189.2850465,171.9748475,38.49493614,78.59035111,0.0,0.0,117.0852873
Arunanchal,31-05-2016,1514543.442,1.6,216.9206031,215.0596907,34.40338075,103.8017959,0.0,0.0,138.2051767
Arunanchal,30-06-2016,1516406.708,1.6,171.6331715,170.0620105,32.32899182,79.89171457,0.0,0.0,112.2207064
Arunanchal,31-07-2016,1518688.484,1.61,166.1099712,159.2516134,16.93439871,96.49590401,0.0,0.0,113.4303027
Arunanchal,31-08-2016,1521440.349,1.61,206.0985087,215.6411582,46.89483527,114.9251161,0.0,0.0,161.8199514
Arunanchal,30-09-2016,1524346.02,1.62,206.7604635,202.9438963,48.65167442,87.0062725,0.0,0.0,135.6579469
Arunanchal,31-10-2016,1526375.325,1.62,188.204117,178.816121,12.63314509,78.47910814,0.0,0.0,91.11225323
Arunanchal,30-11-2016,1529628.515,1.63,184.7423093,174.5293859,19.16108387,94.91552993,0.0,0.0,114.0766138
Arunanchal,31-12-2016,1531651.209,1.63,174.0599606,176.6823189,35.07075115,79.83669452,0.0,0.0,114.9074457
Arunanchal,31-01-2017,1534404.923,1.64,258.6885534,244.1873791,41.07947494,133.2498854,0.0,0.0,174.3293603
Arunanchal,28-02-2017,1536649.277,1.64,266.1847105,281.8751615,34.89228423,107.1069885,0.0,0.0,141.9992727
Arunanchal,31-03-2017,1538385.235,1.65,165.6189513,151.8025193,23.80019944,67.57768424,0.0,0.0,91.37788368
Arunanchal,30-04-2017,1541380.469,1.65,284.7566156,294.8191182,21.84992025,134.8032811,0.0,0.0,156.6532014
Arunanchal,31-05-2017,1543102.677,1.66,221.6690308,221.0712756,23.90365085,121.1391784,0.0,0.0,145.0428293
Arunanchal,30-06-2017,1545922.515,1.66,187.8958478,174.186727,10.50988748,89.85629148,0.0,0.0,100.366179
Arunanchal,31-07-2017,1548823.623,1.67,245.2298577,228.1417055,36.86299349,145.9803747,0.0,0.0,182.8433682
Arunanchal,31-08-2017,1552126.384,1.67,205.8291081,206.1520248,31.25820044,110.8892653,0.0,0.0,142.1474657
Arunanchal,30-09-2017,1554581.199,1.68,182.0503347,186.0501505,15.53665596,79.99283574,0.0,0.0,95.5294917
Arunanchal,31-10-2017,1557461.393,1.69,181.4564808,186.9563373,44.16496904,78.83853592,0.0,0.0,123.003505
Arunanchal,30-11-2017,1560625.921,1.69,209.344202,215.9178848,49.39431943,109.7180265,0.0,0.0,159.112346
Arunanchal,31-12-2017,1564046.387,1.69,181.0832605,182.8294795,18.52798436,102.586694,0.0,0.0,121.1146784
Arunanchal,31-01-2018,1565778.949,1.7,172.9349554,178.1180254,13.78990001,69.45919127,0.0,0.0,83.24909128
Arunanchal,28-02-2018,1568248.996,1.7,238.3650368,251.1842116,14.21497668,122.0650356,0.0,0.0,136.2800122
Arunanchal,31-03-2018,1569928.324,1.71,173.4097273,162.3856571,42.25736375,99.24288151,0.0,0.0,141.5002453
Arunanchal,30-04-2018,1572053.619,1.71,274.4207547,301.4436503,49.6361921,116.7958818,0.0,0.0,166.4320739
Arunanchal,31-05-2018,1575729.058,1.72,309.8861935,294.3205328,69.11256387,139.2738619,0.0,0.0,208.3864258
Arunanchal,30-06-2018,1578160.59,1.72,318.2954414,328.1845049,17.19649637,168.2409419,0.0,0.0,185.4374382
Arunanchal,31-07-2018,1579626.928,1.73,282.9721605,309.0359684,40.32919456,138.8769284,0.0,0.0,179.206123
Arunanchal,31-08-2018,1582954.49,1.73,189.8945819,204.7536356,36.2213533,94.78088861,0.0,0.0,131.0022419
Arunanchal,30-09-2018,1586391.654,1.74,217.5066537,201.107272,40.57870458,129.0875657,0.0,0.0,169.6662703
