State,Year,Sector,Unit,Energy_Sold
Dadra,2018-19,Water_Sewage,GWh,6.2
Dadra,2018-19,Miscellaneous,GWh,3.4
Dadra,2019-20,Domestic,GWh,154
Dadra,2019-20,Commercial,GWh,36.6
Dadra,2019-20,Industrial,GWh,6080.3
Dadra,2019-20,Public_Lighting,GWh,3.1
Dadra,2019-20,Traction,GWh,0
Dadra,2019-20,Agriculture,GWh,5.3
Dadra,2019-20,Water_Sewage,GWh,5
Dadra,2019-20,Miscellaneous,GWh,3.8
Dadra,2020-21,Domestic,GWh,149.3
Dadra,2020-21,Commercial,GWh,32.7
Dadra,2020-21,Industrial,GWh,5092
Dadra,2020-21,Public_Lighting,GWh,2.4
Dadra,2020-21,Traction,GWh,0
Dadra,2020-21,Agriculture,GWh,4.9
Dadra,2020-21,Water_Sewage,GWh,5.2
Dadra,2020-21,Miscellaneous,GWh,0
Dadra,2016-17,Domestic,GWh,96
Dadra,2016-17,Commercial,GWh,44.3
Dadra,2016-17,Industrial,GWh,1574.7
Dadra,2016-17,Public_Lighting,GWh,7.9
Dadra,2016-17,Traction,GWh,0
Dadra,2016-17,Agriculture,GWh,2.7
Dadra,2016-17,Water_Sewage,GWh,3.2
Dadra,2016-17,Miscellaneous,GWh,8.2
Dadra,2017-18,Domestic,GWh,120.8
Dadra,2017-18,Commercial,GWh,55.9
Dadra,2017-18,Industrial,GWh,2173.2
Dadra,2017-18,Public_Lighting,GWh,9.5
Dadra,2017-18,Traction,GWh,0
Dadra,2017-18,Agriculture,GWh,4.7
Dadra,2017-18,Water_Sewage,GWh,3.5
Dadra,2017-18,Miscellaneous,GWh,9.8
Dadra,2018-19,Domestic,GWh,132.6
Dadra,2018-19,Commercial,GWh,51.3
Dadra,2018-19,Industrial,GWh,2219.7
Dadra,2018-19,Public_Lighting,GWh,8.2
Dadra,2018-19,Traction,GWh,0
Dadra,2018-19,Agriculture,GWh,4.8
Dadra,2018-19,Water_Sewage,GWh,3.7
Dadra,2018-19,Miscellaneous,GWh,11.1
Dadra,2019-20,Domestic,GWh,146.3
Dadra,2019-20,Commercial,GWh,49.8
Dadra,2019-20,Industrial,GWh,2271.6
Dadra,2019-20,Public_Lighting,GWh,6.3
Dadra,2019-20,Traction,GWh,0
Dadra,2019-20,Agriculture,GWh,4.3
Dadra,2019-20,Water_Sewage,GWh,2.8
Dadra,2019-20,Miscellaneous,GWh,14.5
Dadra,2020-21,Domestic,GWh,138.2
Dadra,2020-21,Commercial,GWh,39.9
Dadra,2020-21,Industrial,GWh,1934.3
Dadra,2020-21,Public_Lighting,GWh,5.5
Dadra,2020-21,Traction,GWh,0
Dadra,2020-21,Agriculture,GWh,3.4
Dadra,2020-21,Water_Sewage,GWh,2.5
Dadra,2020-21,Miscellaneous,GWh,12.9
Delhi,2016-17,Domestic,GWh,14086.7
Delhi,2016-17,Commercial,GWh,7290.3
Delhi,2016-17,Industrial,GWh,3088.7
Delhi,2016-17,Public_Lighting,GWh,494.4
Delhi,2016-17,Traction,GWh,71.4
Delhi,2016-17,Agriculture,GWh,28.9
Delhi,2016-17,Water_Sewage,GWh,602.8
Delhi,2016-17,Miscellaneous,GWh,941.3
Delhi,2017-18,Domestic,GWh,14911.5
Delhi,2017-18,Commercial,GWh,8118.4
Delhi,2017-18,Industrial,GWh,3231.8
Delhi,2017-18,Public_Lighting,GWh,433.9
Delhi,2017-18,Traction,GWh,687.5
Delhi,2017-18,Agriculture,GWh,33.2
Delhi,2017-18,Water_Sewage,GWh,389.9
Delhi,2017-18,Miscellaneous,GWh,681.6
Delhi,2018-19,Domestic,GWh,15430.5
Delhi,2018-19,Commercial,GWh,7702.8
Delhi,2018-19,Industrial,GWh,3441.9
Delhi,2018-19,Public_Lighting,GWh,366.5
Delhi,2018-19,Traction,GWh,499.6
Delhi,2018-19,Agriculture,GWh,33.4
Delhi,2018-19,Water_Sewage,GWh,386.3
Delhi,2018-19,Miscellaneous,GWh,1307.8
Delhi,2019-20,Domestic,GWh,16461.5
Delhi,2019-20,Commercial,GWh,7653.3
Delhi,2019-20,Industrial,GWh,3392.5
Delhi,2019-20,Public_Lighting,GWh,353.9
Delhi,2019-20,Traction,GWh,221
Delhi,2019-20,Agriculture,GWh,37.4
Delhi,2019-20,Water_Sewage,GWh,389.2
Delhi,2019-20,Miscellaneous,GWh,1303.2
Delhi,2020-21,Domestic,GWh,16439.5
Delhi,2020-21,Commercial,GWh,5314.1
Delhi,2020-21,Industrial,GWh,2819.2
Delhi,2020-21,Public_Lighting,GWh,328.1
Delhi,2020-21,Traction,GWh,77.5
Delhi,2020-21,Agriculture,GWh,39.4
Delhi,2020-21,Water_Sewage,GWh,644.4
Delhi,2020-21,Miscellaneous,GWh,657
Goa,2016-17,Domestic,GWh,880.6
Goa,2016-17,Commercial,GWh,368.5
Goa,2016-17,Industrial,GWh,2110.1
Goa,2016-17,Public_Lighting,GWh,37
Goa,2016-17,Traction,GWh,0
Goa,2016-17,Agriculture,GWh,29.9
Goa,2016-17,Water_Sewage,GWh,0
Goa,2016-17,Miscellaneous,GWh,49.3
Goa,2017-18,Domestic,GWh,938.7
Goa,2017-18,Commercial,GWh,386
Goa,2017-18,Industrial,GWh,2177
Goa,2017-18,Public_Lighting,GWh,37.3
Goa,2017-18,Traction,GWh,0
Goa,2017-18,Agriculture,GWh,29.9
Goa,2017-18,Water_Sewage,GWh,0
Goa,2017-18,Miscellaneous,GWh,49
Goa,2018-19,Domestic,GWh,1152.1
Goa,2018-19,Commercial,GWh,541.7
Goa,2018-19,Industrial,GWh,2008.5
Goa,2018-19,Public_Lighting,GWh,2.7
Goa,2018-19,Traction,GWh,0
Goa,2018-19,Agriculture,GWh,26.4
Goa,2018-19,Water_Sewage,GWh,0
Goa,2018-19,Miscellaneous,GWh,55.9
Goa,2019-20,Domestic,GWh,1208.1
Goa,2019-20,Commercial,GWh,616.6
Goa,2019-20,Industrial,GWh,2196
Goa,2019-20,Public_Lighting,GWh,2.9
Goa,2019-20,Traction,GWh,0
Goa,2019-20,Agriculture,GWh,27.3
Goa,2019-20,Water_Sewage,GWh,0
Goa,2019-20,Miscellaneous,GWh,53.3
Goa,2020-21,Domestic,GWh,1265.7
Goa,2020-21,Commercial,GWh,424.7
Goa,2020-21,Industrial,GWh,1916.1
Goa,2020-21,Public_Lighting,GWh,26.3
Goa,2020-21,Traction,GWh,0
Goa,2020-21,Agriculture,GWh,31.3
Goa,2020-21,Water_Sewage,GWh,0
Goa,2020-21,Miscellaneous,GWh,36.2
Gujarat,2016-17,Domestic,GWh,13889.8
Gujarat,2016-17,Commercial,GWh,2954
Gujarat,2016-17,Industrial,GWh,48321.7
Gujarat,2016-17,Public_Lighting,GWh,348.5
Gujarat,2016-17,Traction,GWh,652.9
Gujarat,2016-17,Agriculture,GWh,16758.6
Gujarat,2016-17,Water_Sewage,GWh,1959
Gujarat,2016-17,Miscellaneous,GWh,671.1
Gujarat,2017-18,Domestic,GWh,14648.3
Gujarat,2017-18,Commercial,GWh,3109.3
Gujarat,2017-18,Industrial,GWh,53525.6
Gujarat,2017-18,Public_Lighting,GWh,321.8
Gujarat,2017-18,Traction,GWh,695
Gujarat,2017-18,Agriculture,GWh,13731.8
Gujarat,2017-18,Water_Sewage,GWh,2090.9
Gujarat,2017-18,Miscellaneous,GWh,2596.5
Gujarat,2018-19,Domestic,GWh,15537.7
Gujarat,2018-19,Commercial,GWh,4157.9
Gujarat,2018-19,Industrial,GWh,56956.2
Gujarat,2018-19,Public_Lighting,GWh,312.1
Gujarat,2018-19,Traction,GWh,743.1
Gujarat,2018-19,Agriculture,GWh,14598.3
Gujarat,2018-19,Water_Sewage,GWh,2207.8
Gujarat,2018-19,Miscellaneous,GWh,1457.3
Gujarat,2019-20,Domestic,GWh,16100.6
Gujarat,2019-20,Commercial,GWh,5004.5
Gujarat,2019-20,Industrial,GWh,55920.2
Gujarat,2019-20,Public_Lighting,GWh,273.8
Gujarat,2019-20,Traction,GWh,701.7
Gujarat,2019-20,Agriculture,GWh,11989.8
Gujarat,2019-20,Water_Sewage,GWh,2041
Gujarat,2019-20,Miscellaneous,GWh,213.5
Gujarat,2020-21,Domestic,GWh,16510.2
Gujarat,2020-21,Commercial,GWh,4314.4
Gujarat,2020-21,Industrial,GWh,55731.5
Gujarat,2020-21,Public_Lighting,GWh,152.1
Gujarat,2020-21,Traction,GWh,433.2
Gujarat,2020-21,Agriculture,GWh,12663.8
Gujarat,2020-21,Water_Sewage,GWh,2108.4
Gujarat,2020-21,Miscellaneous,GWh,362.3
Haryana,2016-17,Domestic,GWh,7395.6
Haryana,2016-17,Commercial,GWh,5341.5
Haryana,2016-17,Industrial,GWh,9990.6
Haryana,2016-17,Public_Lighting,GWh,102.6
Haryana,2016-17,Traction,GWh,359.6
Haryana,2016-17,Agriculture,GWh,9708.8
Haryana,2016-17,Water_Sewage,GWh,806.5
Haryana,2016-17,Miscellaneous,GWh,795.5
Haryana,2017-18,Domestic,GWh,8743.7
Haryana,2017-18,Commercial,GWh,4266.4
Haryana,2017-18,Industrial,GWh,12574.4
Haryana,2017-18,Public_Lighting,GWh,226.9
Haryana,2017-18,Traction,GWh,225.6
Haryana,2017-18,Agriculture,GWh,10067.3
Haryana,2017-18,Water_Sewage,GWh,914.6
Haryana,2017-18,Miscellaneous,GWh,1196.4
Haryana,2018-19,Domestic,GWh,9623.3
Haryana,2018-19,Commercial,GWh,4547.9
Haryana,2018-19,Industrial,GWh,14202.6
Haryana,2018-19,Public_Lighting,GWh,232.1
Haryana,2018-19,Traction,GWh,409.8
Haryana,2018-19,Agriculture,GWh,9714.3
Haryana,2018-19,Water_Sewage,GWh,1024.6
Haryana,2018-19,Miscellaneous,GWh,1262.8
Haryana,2019-20,Domestic,GWh,11077.8
Haryana,2019-20,Commercial,GWh,4875.9
Haryana,2019-20,Industrial,GWh,13964.5
Haryana,2019-20,Public_Lighting,GWh,223.1
Haryana,2019-20,Traction,GWh,385.3
Haryana,2019-20,Agriculture,GWh,10371.2
Haryana,2019-20,Water_Sewage,GWh,1117.9
Haryana,2019-20,Miscellaneous,GWh,1366.4
Haryana,2020-21,Domestic,GWh,11970.2
Haryana,2020-21,Commercial,GWh,4006
Haryana,2020-21,Industrial,GWh,12804.1
Haryana,2020-21,Public_Lighting,GWh,168
Haryana,2020-21,Traction,GWh,286
Haryana,2020-21,Agriculture,GWh,10087.5
Haryana,2020-21,Water_Sewage,GWh,1148.4
Haryana,2020-21,Miscellaneous,GWh,1473.6
Himachal,2016-17,Domestic,GWh,1937.9
Himachal,2016-17,Commercial,GWh,528.2
Himachal,2016-17,Industrial,GWh,4561.5
Himachal,2016-17,Public_Lighting,GWh,13
Himachal,2016-17,Traction,GWh,0
Himachal,2016-17,Agriculture,GWh,57.3
Himachal,2016-17,Water_Sewage,GWh,551
Himachal,2016-17,Miscellaneous,GWh,324.8
Himachal,2017-18,Domestic,GWh,1989.9
Himachal,2017-18,Commercial,GWh,567.1
Himachal,2017-18,Industrial,GWh,4815.7
Himachal,2017-18,Public_Lighting,GWh,11.3
Himachal,2017-18,Traction,GWh,0
Himachal,2017-18,Agriculture,GWh,62.2
Himachal,2017-18,Water_Sewage,GWh,605.1
Himachal,2017-18,Miscellaneous,GWh,353.3
Himachal,2018-19,Domestic,GWh,2080.5
Himachal,2018-19,Commercial,GWh,614.6
Himachal,2018-19,Industrial,GWh,5334.7
Himachal,2018-19,Public_Lighting,GWh,10.4
Himachal,2018-19,Traction,GWh,0
Himachal,2018-19,Agriculture,GWh,63
Himachal,2018-19,Water_Sewage,GWh,565.7
Himachal,2018-19,Miscellaneous,GWh,372.1
Himachal,2019-20,Domestic,GWh,2193.7
Himachal,2019-20,Commercial,GWh,623
Himachal,2019-20,Industrial,GWh,5322.9
Himachal,2019-20,Public_Lighting,GWh,10.7
Himachal,2019-20,Traction,GWh,0
Himachal,2019-20,Agriculture,GWh,56.7
Himachal,2019-20,Water_Sewage,GWh,560.5
Himachal,2019-20,Miscellaneous,GWh,356.5
Himachal,2020-21,Domestic,GWh,2356.5
Himachal,2020-21,Commercial,GWh,518.4
Himachal,2020-21,Industrial,GWh,4772.5
Himachal,2020-21,Public_Lighting,GWh,10.5
Himachal,2020-21,Traction,GWh,0
Himachal,2020-21,Agriculture,GWh,72.6
Himachal,2020-21,Water_Sewage,GWh,602.9
Himachal,2020-21,Miscellaneous,GWh,301.9
Jammu,2016-17,Domestic,GWh,3272.1
Jammu,2016-17,Commercial,GWh,1023.8
Jammu,2016-17,Industrial,GWh,1530.8
Jammu,2016-17,Public_Lighting,GWh,52.8
Jammu,2016-17,Traction,GWh,0
Jammu,2016-17,Agriculture,GWh,313
Jammu,2016-17,Water_Sewage,GWh,615
Jammu,2016-17,Miscellaneous,GWh,1095
Jammu,2017-18,Domestic,GWh,3442.8
Jammu,2017-18,Commercial,GWh,1081.1
Jammu,2017-18,Industrial,GWh,1701.7
Jammu,2017-18,Public_Lighting,GWh,53.2
Jammu,2017-18,Traction,GWh,14.7
Jammu,2017-18,Agriculture,GWh,314.5
