Region,Peak_Demand_MW,Peak_Met_MW,Difference_MW,Difference_percent,Date
ani,68,65,3,4.4,1/4/2024
Eastern Region (##),31435,31435,0,0.0,1/4/2024
Arunanchal,186,185,1,0.5,1/4/2024
Assam,2012,2012,0,0.0,1/4/2024
Manipur,214,214,0,0.0,1/4/2024
Meghalaya,409,408,1,0.2,1/4/2024
Mizoram,130,130,0,0.0,1/4/2024
Nagaland,166,166,0,0.0,1/4/2024
Tripura,363,363,0,0.0,1/4/2024
North-Eastern Region (##),3337,3334,3,0.1,1/4/2024
All India,224181,224052,129,0.0,1/4/2024
Chandigarh,237,237,0,0.0,1/3/2024
Delhi,4482,4482,0,0.0,1/3/2024
Haryana,7747,7747,0,0.0,1/3/2024
Himachal,1982,1982,0,0.0,1/3/2024
Jammu,2896,2896,0,0.0,1/3/2024
Punjab,10112,10112,0,0.0,1/3/2024
Rajasthan,17030,17030,0,0.0,1/3/2024
Uttar,21243,21243,0,0.0,1/3/2024
Uttarakhand,2260,2260,0,0.0,1/3/2024
Northern Region (##),60002,60002,0,0.0,1/3/2024
Chhattisgarh,6148,6148,0,0.0,1/3/2024
Gujarat,21843,21843,0,0.0,1/3/2024
Madhya,13594,13594,0,0.0,1/3/2024
Maharashtra,28795,28735,60,0.2,1/3/2024
Dadra,1283,1283,0,0.0,1/3/2024
Goa,767,767,0,0.0,1/3/2024
Western Region (##),70528,70528,0,0.0,1/3/2024
andhra,13237,13237,0,0.0,1/3/2024
Telangana,15622,15622,0,0.0,1/3/2024
Karnataka,17212,17212,0,0.0,1/3/2024
Kerala,5284,5284,0,0.0,1/3/2024
Tamil,19041,19041,0,0.0,1/3/2024
Puducherry,467,467,0,0.0,1/3/2024
Lakshadweep (#),12,12,0,0.0,1/3/2024
Southern Region (##),68094,68094,0,0.0,1/3/2024
Bihar,5869,5868,1,0.0,1/3/2024
DVC,3336,3336,0,0.0,1/3/2024
Jharkhand,1995,1817,178,8.9,1/3/2024
Odisha,6138,6138,0,0.0,1/3/2024
Bengal,9956,9956,0,0.0,1/3/2024
Sikkim,119,119,0,0.0,1/3/2024
ani,65,60,5,7.7,1/3/2024
Eastern Region (##),27079,27079,0,0.0,1/3/2024
Arunanchal,177,177,0,0.0,1/3/2024
Assam,1810,1782,28,1.5,1/3/2024
Manipur,226,226,0,0.0,1/3/2024
Meghalaya,399,398,1,0.3,1/3/2024
Mizoram,136,136,0,0.0,1/3/2024
Nagaland,158,157,1,0.6,1/3/2024
Tripura,288,288,0,0.0,1/3/2024
North-Eastern Region (##),3126,3126,0,0.0,1/3/2024
All India,221823,221684,139,0.1,1/3/2024
Chandigarh,304,304,0,0.0,1/2/2024
Delhi,5406,5406,0,0.0,1/2/2024
Haryana,8868,8868,0,0.0,1/2/2024
Himachal,2133,2133,0,0.0,1/2/2024
Jammu,3071,3071,0,0.0,1/2/2024
Punjab,10180,10180,0,0.0,1/2/2024
Rajasthan,17867,17867,0,0.0,1/2/2024
Uttar,20346,19726,620,3.0,1/2/2024
Uttarakhand,2523,2328,195,7.7,1/2/2024
Northern Region (##),63481,63481,0,0.0,1/2/2024
Chhattisgarh,5819,5813,6,0.1,1/2/2024
Gujarat,21248,21248,0,0.0,1/2/2024
Madhya,16998,16992,6,0.0,1/2/2024
Maharashtra,28969,28969,0,0.0,1/2/2024
Dadra,1304,1304,0,0.0,1/2/2024
Goa,749,749,0,0.0,1/2/2024
Western Region (##),73830,73830,0,0.0,1/2/2024
andhra,13061,13061,0,0.0,1/2/2024
Telangana,15164,15164,0,0.0,1/2/2024
Karnataka,16632,16632,0,0.0,1/2/2024
Kerala,4827,4827,0,0.0,1/2/2024
Tamil,17996,17996,0,0.0,1/2/2024
Puducherry,465,465,0,0.0,1/2/2024
Lakshadweep (#),12,12,0,0.0,1/2/2024
Southern Region (##),65820,65820,0,0.0,1/2/2024
Bihar,5115,5107,8,0.2,1/2/2024
DVC,3231,3231,0,0.0,1/2/2024
Jharkhand,1836,1836,0,0.0,1/2/2024
Odisha,5393,5389,4,0.1,1/2/2024
Bengal,7608,7608,0,0.0,1/2/2024
Sikkim,133,133,0,0.0,1/2/2024
ani,65,60,5,7.7,1/2/2024
Eastern Region (##),23650,23650,0,0.0,1/2/2024
Arunanchal,186,186,0,0.0,1/2/2024
Assam,1636,1634,2,0.1,1/2/2024
Manipur,252,235,17,6.7,1/2/2024
Meghalaya,399,399,0,0.0,1/2/2024
Mizoram,155,155,0,0.0,1/2/2024
Nagaland,156,156,0,0.0,1/2/2024
Tripura,262,261,1,0.4,1/2/2024
North-Eastern Region (##),2861,2861,0,0.0,1/2/2024
All India,221166,222003,163,0.1,1/2/2024
Chandigarh,348,348,0,0.0,1/1/2024
Delhi,5816,5816,0,0.0,1/1/2024
Haryana,9530,9530,0,0.0,1/1/2024
Himachal,2181,2181,0,0.0,1/1/2024
Jammu,3181,3133,48,1.5,1/1/2024
Punjab,9370,9370,0,0.0,1/1/2024
Rajasthan,18128,18128,0,0.0,1/1/2024
Uttar,22703,22703,0,0.0,1/1/2024
Uttarakhand,2635,2405,230,8.7,1/1/2024
Others,208,208,0,0.0,1/1/2024
Northern Region (##),69559,69327,232,0.3,1/1/2024
Chhattisgarh,5338,5334,4,0.1,1/1/2024
Gujarat,21861,21861,0,0.0,1/1/2024
Madhya,18252,17817,435,2.4,1/1/2024
Maharashtra,28651,28651,0,0.0,1/1/2024
Dadra,1294,1294,0,0.0,1/1/2024
Goa,721,720,1,0.1,1/1/2024
Others,1615,1612,3,0.2,1/1/2024
Western Region (##),74583,74583,0,0.0,1/1/2024
andhra,12216,12216,0,0.0,1/1/2024
Telangana,13810,13810,0,0.0,1/1/2024
Karnataka,15668,15668,0,0.0,1/1/2024
Kerala,4340,4340,0,0.0,1/1/2024
Tamil,16621,16621,0,0.0,1/1/2024
Puducherry,453,453,0,0.0,1/1/2024
Lakshadweep (#),11,11,0,0.0,1/1/2024
Others,6,6,0,0.0,1/1/2024
Southern Region (##),60891,60891,0,0.0,1/1/2024
Bihar,5715,5715,0,0.0,1/1/2024
DVC,2974,2972,2,0.1,1/1/2024
Jharkhand,1908,1905,3,0.2,1/1/2024
Odisha,5041,5041,0,0.0,1/1/2024
Bengal,7268,7268,0,0.0,1/1/2024
Sikkim,128,128,0,0.0,1/1/2024
ani,63,60,3,4.8,1/1/2024
Eastern Region (##),23044,23044,0,0.0,1/1/2024
Arunanchal,181,181,0,0.0,1/1/2024
Assam,1538,1538,0,0.0,1/1/2024
Manipur,258,248,10,3.9,1/1/2024
Meghalaya,405,405,0,0.0,1/1/2024
Mizoram,162,162,0,0.0,1/1/2024
Nagaland,163,162,1,0.6,1/1/2024
Tripura,354,354,0,0.0,1/1/2024
Others,1,1,0,0.0,1/1/2024
North-Eastern Region (##),2928,2918,10,0.3,1/1/2024
All India,223516,222327,1189,0.5,1/1/2024
